epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1362.97,1.39084,1.12846,1.09001,0.66439,0.73547,0.76104,0.47383,1.26225,0.81626,1.03683,0.000369752,0.000369752,0.000369752
2,3007.95,1.29349,0.82366,1.0371,0.72204,0.73243,0.78426,0.50031,1.22338,0.78187,1.03542,0.000666817,0.000666817,0.000666817
3,4723.07,1.26858,0.79236,1.02742,0.771,0.75744,0.80266,0.51482,1.23317,0.75688,1.02852,0.000890556,0.000890556,0.000890556
4,5787.76,1.23765,0.75976,1.01524,0.77712,0.79204,0.84276,0.56013,1.17566,0.70252,1.00919,0.000781033,0.000781033,0.000781033
5,6944.3,1.22615,0.7268,1.01222,0.76972,0.80298,0.84315,0.54759,1.19015,0.69325,1.00525,0.000671044,0.000671044,0.000671044
6,8032.44,1.20457,0.69827,1.0038,0.72025,0.82349,0.85536,0.56684,1.15458,0.66737,1.00666,0.000561055,0.000561055,0.000561055
7,9149.72,1.17929,0.66936,0.99924,0.76214,0.82311,0.8483,0.55191,1.1715,0.66382,1.01241,0.000451066,0.000451066,0.000451066
8,11098.3,1.15345,0.65254,0.98444,0.79342,0.82351,0.86943,0.58473,1.11543,0.63169,0.98862,0.000341077,0.000341077,0.000341077
9,12187,1.13693,0.63621,0.97997,0.83914,0.81975,0.88179,0.59942,1.11661,0.61212,0.98862,0.000231088,0.000231088,0.000231088
10,13275,1.11131,0.61729,0.97195,0.81915,0.8265,0.8843,0.60787,1.09805,0.59723,0.98146,0.000121099,0.000121099,0.000121099
